all lines with 'Arvern'...:
Tag	Token	Sentence
GRP-B	Arvernis	
PRS-B	Arverno	
GRP-B	Arvernus	
GEO-B	Arvernum	
GRP-B	Arvernorum	
GRP-B	Arvernus	
GRP-B	Arvernus	
GRP-B	Arvernus	
GRP-B	Arvernis	
GRP-B	Arvernorum	
GRP-B	Arvernis	
GRP-B	Arvernus	
GRP-B	Arverni	
GEO-B	Arvernae	
GRP-B	Arvernorum	
PRS-B	Arvernum	
GRP-B	Arverno	
GRP-B	Arvernis	
GRP-B	Arvernus	
GRP-B	Arvernus	
GRP-B	Arverni	
GRP-B	Arvernis	
GRP-B	Arvernus	
GRP-B	Arvernus	
PRS-B	Arvernae	
PRS-B	Arverna	
GRP-B	Arvernus	
GRP-B	Arvernus	
GRP-B	Arvernus	
GRP-B	Arvernus	
GRP-B	Arvernus	
PRS-B	Arvernam	
GRP-B	Arvernus	
GRP-B	Arvernus	
GRP-B	Arverno	
GRP-B	Arvernorum	
GRP-B	Arvernus	
GRP-B	Arvernus	
GEO-B	Arverne	
GRP-B	Arvernus	
GRP-B	Arvernus	
GRP-B	Arvernis	
GRP-B	Arvernus	
PRS-B	Arvernam	
PRS-B	Arverno	
GRP-B	Arvernus	
GRP-B	Arvernus	
GEO-B	Arvernae	
GRP-B	Arverno	
GEO-B	Arvernam	
GRP-B	Arverno	
PRS-B	Arverno	
GRP-B	Arverno	
PRS-B	Arverno	
PRS-B	Arvernum	
GEO-B	Arvernum	
PRS-B	Arvernam	
GRP-B	Arverno	
GRP-B	Arvernis	
GRP-B	Arvernus	
GRP-B	Arvernum	
GRP-B	Arvernus	
GRP-B	Arverno	
GRP-B	Arvernus	
GRP-B	Arvernum	
PRS-B	Arverno	
GRP-B	Arvernus	
PRS-B	Arvernum	
GRP-B	Arvernum	
GRP-B	Arverni	
GRP-B	Arverni	
GRP-B	Arvernus	
GRP-B	Arvernis	
GRP-B	Arvernis	
GEO-B	Arvernam	
GEO-B	Arverna	
PRS-B	Arvernae	
GRP-B	Arverni	
GRP-B	Arvernum	
GEO-B	Arverna	
GRP-B	Arvernis	
GRP-B	Arverni	
GRP-B	Arvernum	
GEO-B	Arverna	
PRS-I	Arvernum	
PRS-B	Arvernum	
GRP-B	Arvernum	
GRP-B	Arvernum	
GRP-B	Arverni	
PRS-B	Arverno	
GRP-B	Arvernum	
PRS-B	Arvernam	
GRP-B	Arvernorum	
PRS-B	Arverno	
GRP-B	Arvernis	
GRP-B	Arverno	
GRP-B	Arvernum	
GRP-B	Arvernis	
GRP-B	Arvernus	
GRP-B	Arvernum	
GRP-B	Arverno	
GEO-B	Arverna	
PRS-B	Arverna	
GRP-B	Arverno	
GRP-B	Arvernis	
GEO-B	Arvernae	
GRP-B	Arvernorum	
GRP-B	Arvernus	
PRS-B	Arverno	
