all lines with 'Brittan'...:
Tag	Token	Sentence
PRS-B	Brittanis	Maximus_0 vero_0 cum_0 per_0 tyrannidem_0 oppraessis_0 Brittanis_PRS-B sumsisset_0 victuriam_0 ,_0 a_0 militibus_0 imperator_0 creatus_0 est._0 In_0 urbe_0 Treverica_PRS-B sedem_0 instituens_0 ,_0 Gratianum_PRS-B imperatorem_0 circumventum_0 dolis_0 interfecit_0 ._0
PRS-B	Brittaniam	Quod_0 ita_0 factum_0 est._0 De_0 exercitu_0 Gunthchramni_PRS-B regis_0 ,_0 qui_0 in_0 Brittaniam_PRS-B abiit_0 ._0
GEO-B	Brittani	Dum_0 haec_0 agerentur_0 et_0 Brittani_GEO-B circa_0 urbis_0 Namneticam_GEO-B utique_0 et_0 Redonicam_GEO-B valde_0 desevirent_0 ,_0 Gunthchramnus_PRS-B rex_0 exercitum_0 contra_0 eos_0 conmoverii_0 iussit_0 ;_0
PRS-B	Brittanos	Coniunctus_0 enim_0 fuerat_0 eo_0 tempore_0 Beppoleno_PRS-B presbiter_0 quidam_0 ,_0 dicens_0 <COLON>_0 '_0 Si_0 secutus_0 me_0 fueris_0 ,_0 ego_0 te_0 usque_0 Warocum_0 ducam_0 ac_0 Brittanos_PRS-B tibi_0 in_0 unum_0 collectos_0 ostendam_0 '_0 ._0
PRS-B	Brittanorum	Fredegundis_0 enim_0 cum_0 audisset_0 ,_0 quod_0 in_0 hoc_0 procincto_0 Beppolenus_PRS-B abiret_0 ,_0 quia_0 ei_0 iam_0 ex_0 anteriore_0 tempore_0 invisus_0 erat_0 ,_0 Baiocassinos_PRS-B Saxones_PRS-I ,_0 iuxta_0 ritum_0 Brittanorum_PRS-B tonsos_0 atque_0 cultu_0 vestimenti_0 conpositos_0 ,_0 in_0 solatium_0 Waroci_0 abire_0 praecepit_0 ._0
PRS-B	Brittanis	Adveniente_PRS-B autem_0 Beppoleno_PRS-B cum_0 his_0 qui_0 cum_0 eum_0 sequi_0 voluerunt_0 ,_0 certamen_0 iniit_0 multosque_0 per_0 biduum_0 de_0 Brittanis_PRS-B ac_0 Saxonibus_PRS-B suprascriptis_0 interimit_0 ._0
GEO-B	Brittanorum	Quo_0 recedente_0 ,_0 et_0 Regalis_PRS-B episcopus_0 cum_0 clericis_0 et_0 paginsibus_0 urbis_0 suae_0 similia_0 sacramenta_0 dedit_0 ,_0 dicens_0 ,_0 quia_0 <COLON>_0 '_0 Nihil_0 nos_0 dominis_0 nostris_0 regibus_0 culpabelis_0 sumus_0 nec_0 umquam_0 contra_0 utilitatem_0 eorum_0 superbi_0 extitimus_0 ,_0 sed_0 in_0 captivitate_0 Brittanorum_GEO-B positi_0 ,_0 gravi_0 iugo_0 subditi_0 sumus_0 '_0 ._0
GRP-B	Brittanis	Verumtamen_0 multitudo_0 magna_0 ,_0 sicut_0 de_0 regali_0 exercitu_0 ,_0 ita_0 et_0 de_0 Brittanis_GRP-B caesa_0 est._0 Egrediente_GRP-B autem_0 exercitu_0 a_0 Brittaniis_PRS-B ac_0 transeuntibus_0 amnem_0 robustiores_0 ,_0 inferiores_0 et_0 pauperes_0 ,_0 qui_0 cum_0 his_0 erant_0 ,_0 simul_0 transire_0 non_0 potuerunt_0 ._0
PRS-B	Brittaniis	Verumtamen_0 multitudo_0 magna_0 ,_0 sicut_0 de_0 regali_0 exercitu_0 ,_0 ita_0 et_0 de_0 Brittanis_GRP-B caesa_0 est._0 Egrediente_GRP-B autem_0 exercitu_0 a_0 Brittaniis_PRS-B ac_0 transeuntibus_0 amnem_0 robustiores_0 ,_0 inferiores_0 et_0 pauperes_0 ,_0 qui_0 cum_0 his_0 erant_0 ,_0 simul_0 transire_0 non_0 potuerunt_0 ._0
GRP-B	Brittaniis	Sed_0 cum_0 eum_0 Fredegundis_PRS-B ,_0 mater_0 eius_0 ,_0 disperatum_0 vidisset_0 ,_0 multum_0 pecuniae_0 ad_0 basilicam_0 sancti_0 Martini_PRS-B vovit_0 ,_0 et_0 sic_0 puer_0 melius_0 agere_0 visus_0 est._0 Sed_0 et_0 Warocum_0 nuntios_0 dirigit_0 ,_0 ut_0 ,_0 qui_0 adhuc_0 captivi_0 in_0 Brittaniis_GRP-B de_0 exercitu_0 Gunthchramni_PRS-B regis_0 retenebantur_0 ,_0 pro_0 huius_0 vita_0 absolverentur_0 ._0
