all lines with 'Thoring'...:
Tag	Token	Sentence
GEO-B	Thoringiam	Tradunt_0 enim_0 multi_0 ,_0 eosdem_0 de_0 Pannonia_GEO-B fuisse_0 degressus_0 ,_0 et_0 primum_0 quidem_0 litora_0 Rheni_GEO-B amnes_0 incoluisse_0 ,_0 dehinc_0 ,_0 transacto_0 Rheno_GEO-B ,_0 Thoringiam_GEO-B transmeasse_0 ,_0 ibique_0 iuxta_0 pagus_0 vel_0 civitates_0 regis_0 crinitos_0 super_0 se_0 creavisse_0 de_0 prima_0 et_0 ,_0 ut_0 ita_0 dicam_0 ,_0 nobiliore_0 suorum_0 familia_0 ._0
GEO-B	Thoringorum	Ferunt_0 etiam_0 ,_0 tunc_0 Chlogionem_PRS-B utilem_0 ac_0 nobilissimum_0 in_0 gente_0 sua_0 regem_0 fuisse_0 Francorum_PRS-B ,_0 qui_0 apud_0 Dispargum_PRS-B castrum_0 habitabat_0 ,_0 quod_0 est_0 in_0 terminum_0 Thoringorum_GEO-B ._0
PRS-B	Thoringiam	Conperto_0 autem_0 ,_0 quod_0 eum_0 etiam_0 interficere_0 vellent_0 ,_0 Thoringiam_PRS-B petiit_0 ,_0 relinquens_0 ibi_0 hominem_0 sibi_0 carum_0 ,_0 qui_0 virorum_0 furentium_0 animus_0 verbis_0 linibus_0 mollire_0 possit_0 ,_0 dans_0 etiam_0 signum_0 ,_0 quando_0 redire_0 possit_0 in_0 patriam_0 ;_0
PRS-B	Thoringiam	Abiens_0 ergo_0 in_0 Thoringiam_PRS-B ,_0 apud_0 regem_0 Bysinum_PRS-B uxoremque_0 eius_0 Basinam_PRS-B latuit_0 ._0
PRS-B	Thoringia	Ille_0 vero_0 certa_0 cognoscens_0 inditia_0 ,_0 quod_0 a_0 Francis_PRS-B desideraretur_0 ,_0 ipsis_0 etiam_0 rogantibus_0 ,_0 a_0 Thoringia_PRS-B regressus_0 ,_0 in_0 regno_0 suo_0 est_0 restitutus_0 ._0
GRP-B	Thoringis	Nam_0 decimo_0 regni_0 sui_0 anno_0 Thoringis_GRP-B bellum_0 intulit_0 eosdemque_0 suis_0 diccionibus_0 subiugavit_0 ._0
PRS-B	Thoringorum	De_0 Thoringorum_PRS-B regibus_0 ._0
PRS-B	Thoringus	Porro_0 tunc_0 apud_0 Thoringus_PRS-B tres_0 fratres_0 regnum_0 gentis_0 illius_0 retinebant_0 ,_0 id_0 est_0 Badericus_PRS-B ,_0 Hermenefredus_PRS-B atque_0 Berthacharius_PRS-B ._0
PRS-B	Thoringus	Bellum_0 contra_0 Thoringus_PRS-B ._0
PRS-B	Thoringorum	Post_0 Theudoricus_PRS-B non_0 inmemor_0 periurias_0 Hermenefrede_PRS-B regis_0 Thoringorum_PRS-B Chlothacharium_PRS-I fratrem_0 suum_0 in_0 solatio_0 suo_0 vocat_0 et_0 adversum_0 eum_0 ire_0 disponit_0 ,_0 promittens_0 regi_0 Chlothachario_PRS-B partem_0 praedae_0 ,_0 si_0 eisdem_0 munus_0 victuriae_0 divinitus_0 conferritur_0 ._0
